,id,text
0,587331876823629824,I just realized that I am going this weekend and I have not even chosen a route or packed.
1,587765758714753024,Nothing like sleeping in your own bed after coming home from vacation
2,587098378011615232,Sleeping in your own bed after vacation>
3,587929509841793024,Worst day of the semester when self service decides to take a vacation
4,587783558758019072,""" This makes me happy it makes you happy that nature is failing? animals do not even know instinct?"
5,586280509963116544,you all can we plan a girls night/sleepover get together at a hotel? & lol.
6,586564122990534656,I have never been so upset about having to come home after vacation
7,586979056307929089,I am screwed for this summer all of my friends will be gone on vacation. Great.
8,587113336040517632,Adventure at zoar valley tomrrow? Supposed to be and sunny
9,585998611433029632,You go to Florida on spring break with no parents and are in your hotel at of the clock. I see something wrong with that picture.
