,id,text,sentiment_text
0,238839253196,"Thank you for the link, you are so very kind. I still cannot believe it",Thank you for the link you are so very kind. I still cannot believe it
1,238843253200,Get 100 followers a day using www.tweeterfollow.com Once you add everyone you are on the train or pay vip,Get followers a day using ww.tweeterfollow.com Once you add everyone you are on the train or pay vip
2,238837253194,Ok.  I will sign up for the first 25 years.  Or you can send me $25 all at once to save on postage.,Ok. I will sign up for the first years. Or you can send me all at once to save on postage.
3,238842253199,Thanks for checking it out,Thanks for checking it out
4,238841253198,not over here it is not,not over here it is not
5,238835253192,I would imagine most of that is yours anyway,I would imagine most of that is yours anyway
6,238836253193,"thanks friend, i better try and get some rest, glad you are back home and safe and in your bed  have sweet dreams",thanks friend i better try and get some rest glad you are back home and safe and in your bed have sweet dreams
7,238838253195,Thank you again for your help. His family will be devastated after he has survived so much.,Thank you again for your help. His family will be devastated after he has survived so much.
8,238840253197,"haha, so ur like me, wondering if there will be a genuine opportunity to go back",ha so ur like me wondering if there will be a genuine opportunity to go back
9,238834253191,Weather is good for it. I have lost all my motivation for work as everything failed,Weather is good for it. I have lost all my motivation for work as everything failed
