,id,text,sentiment_text
0,104086118443,where are you? In Bris? I cannot hear any thunder,where are you In Bris I cannot hear any thunder
1,104092118449,"I know  It slipped out of my hand, flew into the wall. The back cover came off and the battery fell out",I know It slipped out of my hand flew into the wall. The back cover came off and the battery fell out
2,104090118447,if you like 2 laugh..have a good time..follow me..its just that simple,if you like laugh.have a good time.follow me.its just that simple
3,104085118442,Ta for the #ff,Ta for the 
4,104084118441,"So you can both push each other out of a plane. If you both land, then it is meant to be. If not, LIFE INSURANCE!!",So you can both push each other out of a plane. If you both land then it is meant to be. If not LIFE INSURANCE
5,104091118448,haha i do not know why the season was so short,ha i do not know why the season was so short
6,104087118444,You bought a $133 iPhone imitation? Were you drugged? I was kind of hoping it really *was* thrown at a passing car,You bought a iPhone imitation Were you drugged I was kind of hoping it really was thrown at a passing car
7,104093118450,"Onion headlines:  I preferred ""HOLY FUCKING SHIT!"" in the issue after 9/11",Onion headlines I preferred HOLY FUCKING SHIT in the issue after 
8,104088118445,yes we do!  jta sem kasi... closed na nga ung som mall and all the other food stalls sa caf haha,yes we do jta sem kasi. closed na nga ung som mall and all the other food stalls sa caf ha
9,104089118446,"oic, where in Cavite? no sorry im not from America ... if you can see my profile, there is no word like America there",oic where in Cavite no sorry im not from America . if you can see my profile there is no word like America there
